,event_id,store_id,campaign_id,product_code,base_price(before_promo),quantity_sold(before_promo),promo_type,base_price(after_promo),quantity_sold(after_promo),category,product_name
0,8481be,STCHE-1,CAMP_DIW_01,P04,290,327.0,25% OFF,217,287,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
1,20618e,STCHE-3,CAMP_SAN_01,P04,370,379.0,BOGOF,185,1622,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
2,f30579,STBLR-9,CAMP_DIW_01,P02,860,337.0,33% OFF,576,488,Grocery & Staples,Atliq_Sonamasuri_Rice (10KG)
3,4f570c,STBLR-7,CAMP_DIW_01,P05,55,122.0,25% OFF,41,107,Home Care,Atliq_Scrub_Sponge_For_Dishwash
4,6d153f,STHYD-5,CAMP_SAN_01,P15,3000,122.0,500 Cashback,2500,272,Combo1,Atliq_Home_Essential_8_Product_Combo
5,87564a,STCHE-6,CAMP_DIW_01,P04,290,346.0,25% OFF,217,269,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
6,6bbadf,STHYD-1,CAMP_DIW_01,P14,1020,43.0,BOGOF,510,127,Home Appliances,Atliq_waterproof_Immersion_Rod
7,6.88E+10,STVJD-0,CAMP_SAN_01,P08,1190,22.0,BOGOF,595,88,Home Care,Atliq_Double_Bedsheet_set
8,66c422,STBLR-5,CAMP_DIW_01,P07,300,66.0,BOGOF,150,227,Home Care,Atliq_Curtains
9,108d5a,STCBE-0,CAMP_DIW_01,P14,1020,29.0,BOGOF,510,101,Home Appliances,Atliq_waterproof_Immersion_Rod
10,a7fecb,STBLR-1,CAMP_SAN_01,P03,200,361.0,BOGOF,100,963,Grocery & Staples,Atliq_Suflower_Oil (1L)
11,d04bc1,STCBE-0,CAMP_SAN_01,P09,90,49.0,25% OFF,67,46,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
12,ed7b12,STVSK-0,CAMP_SAN_01,P10,50,16.0,25% OFF,37,13,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
13,e7d681,STCHE-5,CAMP_DIW_01,P13,350,66.0,BOGOF,175,226,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
14,02ebe9,STBLR-8,CAMP_DIW_01,P11,190,66.0,50% OFF,95,88,Personal Care,Atliq_Doodh_Kesar_Body_Lotion (200ML)
15,4b3df6,STTRV-1,CAMP_SAN_01,P14,1020,61.0,BOGOF,510,234,Home Appliances,Atliq_waterproof_Immersion_Rod
16,e0ef00,STBLR-9,CAMP_SAN_01,P03,200,309.0,BOGOF,100,1226,Grocery & Staples,Atliq_Suflower_Oil (1L)
17,90110c,STHYD-0,CAMP_SAN_01,P04,370,412.0,BOGOF,185,1615,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
18,a2d32f,STVSK-3,CAMP_SAN_01,P09,90,39.0,25% OFF,67,31,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
19,08086d,STBLR-7,CAMP_DIW_01,P10,65,120.0,50% OFF,32,188,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
20,465ef1,STCHE-4,CAMP_DIW_01,P04,290,304.0,25% OFF,217,273,Grocery & Staples,Atliq_Farm_Chakki_Atta (1KG)
21,fa1dd3,STCHE-3,CAMP_SAN_01,P15,3000,127.0,500 Cashback,2500,367,Combo1,Atliq_Home_Essential_8_Product_Combo
22,92151c,STMDU-3,CAMP_SAN_01,P10,50,25.0,25% OFF,37,20,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
23,31c430,STHYD-1,CAMP_SAN_01,P01,172,312.0,33% OFF,115,393,Grocery & Staples,Atliq_Masoor_Dal (1KG)
24,42fb76,STHYD-5,CAMP_DIW_01,P10,65,112.0,50% OFF,32,151,Personal Care,Atliq_Cream_Beauty_Bathing_Soap (125GM)
25,9d3d1f,STCHE-6,CAMP_SAN_01,P15,3000,147.0,500 Cashback,2500,320,Combo1,Atliq_Home_Essential_8_Product_Combo
26,57d06d,STCBE-1,CAMP_SAN_01,P09,90,54.0,25% OFF,67,39,Personal Care,Atliq_Body_Milk_Nourishing_Lotion (120ML)
27,ba86f4,STVSK-1,CAMP_DIW_01,P13,350,61.0,BOGOF,175,204,Home Appliances,Atliq_High_Glo_15W_LED_Bulb
